1933,-31,-30,-27,-23,-25,-32,-19,-22,-26,-23,-32,-45,-28,-26,-28,-25,-24,-27,1933
1934,-25,-3,-28,-27,-11,-13,-10,-9,-15,-10,-1,-8,-13,-16,-24,-22,-11,-9,1934
1935,-37,12,-13,-35,-26,-22,-18,-16,-17,-7,-28,-20,-19,-18,-11,-24,-19,-17,1935
1936,-28,-39,-24,-20,-15,-18,-5,-11,-5,-2,-4,-2,-14,-16,-29,-20,-11,-3,1936
1937,-7,7,-16,-16,-6,-7,-4,4,14,10,10,-9,-2,-1,-1,-13,-2,11,1937
1938,2,-2,7,5,-7,-17,-8,-4,4,12,3,-23,-2,-1,-3,1,-9,6,1938
1939,-11,-10,-19,-12,-7,-7,-4,-4,1,-2,7,41,-2,-8,-15,-13,-5,2,1939
1940,-13,6,12,16,6,6,11,1,12,8,13,20,8,10,11,12,6,11,1940
1941,13,23,6,11,10,4,16,15,3,25,13,15,13,13,18,9,12,13,1941
1942,28,6,11,13,14,11,2,-3,0,7,13,13,10,10,16,13,3,7,1942
1943,0,22,2,14,10,0,15,3,11,31,26,29,14,12,12,9,6,23,1943
1944,42,32,35,27,26,20,22,22,31,27,13,8,25,27,34,29,22,24,1944
1945,15,5,11,24,10,2,7,26,21,22,10,-9,12,13,9,15,12,18,1945
1946,16,6,0,11,-3,-15,-8,-10,-2,-6,-1,-27,-3,-2,4,3,-11,-3,1946
1947,-8,-4,6,5,-6,-3,-4,-8,-14,7,-1,-15,-4,-5,-13,2,-5,-3,1947
1948,6,-12,-24,-10,6,-5,-13,-10,-13,-7,-9,-21,-9,-9,-7,-9,-9,-10,1948
1949,10,-16,-2,-8,-11,-26,-14,-9,-9,-3,-9,-16,-9,-10,-9,-7,-16,-7,1949
1950,-28,-27,-8,-21,-12,-8,-10,-18,-11,-19,-34,-19,-18,-18,-24,-14,-12,-21,1950
1951,-34,-43,-19,-10,-1,-7,-2,6,4,9,1,16,-7,-10,-32,-10,-1,5,1951
1952,16,13,-9,2,-5,-4,6,7,8,-3,-16,-2,1,3,15,-4,3,-4,1952
1953,9,17,11,20,9,8,3,8,6,5,-4,4,8,7,8,14,6,2,1953
1954,-26,-9,-12,-17,-20,-15,-16,-12,-7,0,9,-16,-12,-10,-10,-16,-14,1,1954
1955,12,-21,-34,-22,-20,-7,-7,7,-14,-4,-28,-32,-14,-13,-8,-25,-2,-15,1955
1956,-15,-24,-22,-26,-27,-15,-10,-26,-18,-23,-15,-9,-19,-21,-24,-25,-17,-19,1956
1957,-12,-6,-6,-2,8,18,3,18,8,0,9,16,5,2,-9,0,13,6,1957
1958,37,23,9,3,7,-6,3,-6,-4,3,2,1,6,7,25,6,-3,0,1958
1959,6,9,21,17,6,3,5,-1,-5,-8,-9,-2,3,4,5,14,2,-7,1959
1960,-2,14,-35,-16,-8,0,-2,1,4,8,-12,19,-3,-4,3,-20,0,0,1960
1961,8,19,10,16,14,11,-3,0,6,0,3,-15,6,8,15,13,2,3,1961
1962,8,15,11,6,-6,5,-2,-2,-2,-3,6,-1,3,2,3,4,0,0,1962
1963,-3,19,-15,-4,-9,2,9,23,20,14,16,-1,6,6,5,-9,11,17,1963
1964,-6,-11,-24,-30,-26,-9,-8,-23,-28,-30,-21,-30,-21,-18,-6,-27,-13,-27,1964
1965,-9,-18,-12,-20,-14,-10,-11,-1,-13,-4,-6,-7,-10,-12,-19,-15,-7,-8,1965
1966,-17,-1,4,-14,-9,2,8,-11,-3,-15,-3,-6,-5,-5,-8,-6,0,-7,1966
1967,-7,-20,4,-6,12,-8,-1,2,-4,7,-6,-2,-2,-3,-11,3,-2,-1,1967
1968,-23,-15,21,-5,-10,-6,-10,-11,-19,11,-5,-14,-7,-6,-13,2,-9,-4,1968
1969,-11,-14,1,18,19,4,-2,3,10,9,11,27,6,3,-13,13,1,10,1969
1970,10,23,8,9,-6,-2,-5,-11,11,4,1,-14,2,6,20,4,-6,5,1970
1971,-3,-22,-19,-11,-7,-18,-13,-3,0,-7,-5,-8,-10,-10,-13,-12,-11,-4,1971
1972,-26,-17,2,-2,-1,4,2,18,4,7,1,18,1,-1,-17,0,8,4,1972
1973,27,30,24,25,26,16,9,2,6,12,5,-7,15,17,25,25,9,8,1973
1974,-14,-28,-5,-10,-1,-5,-3,11,-14,-7,-7,-10,-8,-8,-16,-5,1,-9,1974
1975,8,6,14,5,17,-1,-2,-21,-3,-9,-16,-17,-2,-1,1,12,-8,-9,1975
1976,-1,-6,-21,-9,-23,-15,-10,-17,-10,-26,-6,8,-11,-14,-8,-18,-14,-14,1976
1977,17,21,24,26,30,25,23,20,2,5,20,5,18,18,15,27,23,9,1977
1978,8,12,21,14,7,-2,7,-19,6,1,17,11,7,6,8,14,-5,8,1978
1979,14,-8,18,12,5,13,2,14,26,25,29,47,17,14,6,12,10,27,1979
1980,30,42,29,33,34,17,28,26,22,19,28,20,27,30,40,32,24,23,1980,
1981,55,41,49,31,23,31,35,33,18,14,22,39,33,31,38,34,33,18,1981
1982,9,15,-2,9,15,3,13,9,16,13,13,42,13,13,21,7,8,14,1982
1983,52,40,42,30,36,18,15,31,38,15,30,16,30,33,45,36,22,28,1983
1984,30,17,28,9,34,5,15,15,19,15,3,-6,15,17,21,24,12,12,1984
1985,21,-5,16,9,17,16,1,14,15,13,9,16,12,10,3,14,10,12,1985
1986,29,37,28,25,26,13,13,11,2,14,10,15,19,19,27,26,12,9,1986
1987,35,46,16,25,25,35,46,27,39,32,25,47,33,31,32,22,36,32,1987
1988,57,42,48,44,44,41,34,44,40,37,11,33,40,41,49,45,40,29,1988
1989,16,35,36,33,17,15,33,35,37,33,19,36,29,28,28,29,27,30,1989
1990,40,40,76,54,46,37,43,30,29,42,45,41,44,43,39,58,37,39,1990
1991,42,50,35,51,39,55,51,42,49,31,31,33,42,43,45,42,49,37,1991
1992,45,43,46,23,32,24,13,10,0,10,4,22,23,24,40,34,16,5,1992
1993,37,39,36,27,27,23,27,14,11,23,7,19,24,24,33,30,21,13,1993
1994,31,3,26,40,28,41,31,22,34,42,45,36,32,30,18,31,31,41,1994
1995,51,78,45,47,28,44,49,49,34,49,44,30,46,46,55,40,47,42,1995
1996,27,49,34,36,29,26,36,50,26,21,41,40,34,34,35,33,37,29,1996
1997,32,37,51,37,38,54,36,42,56,64,65,60,48,46,37,42,44,62,1997
1998,61,88,62,64,70,77,70,69,46,46,49,57,63,64,70,65,72,47,1998
1999,48,67,33,34,33,37,41,35,43,42,40,47,42,43,57,33,38,42,1999
2000,26,59,59,59,39,43,42,42,44,29,33,31,42,44,44,53,42,35,2000
2001,45,47,58,52,59,54,60,50,55,51,70,54,55,53,41,56,55,59,2001
2002,74,76,91,58,65,55,61,54,64,56,59,42,63,64,68,71,57,60,2002
2003,72,55,57,54,63,48,55,66,67,75,55,74,62,59,56,58,57,66,2003
2004,58,70,66,62,42,43,27,45,53,66,72,52,55,56,67,57,38,64,2004
2005,72,58,69,69,64,66,66,63,76,80,75,68,69,67,61,67,65,77,2005
2006,57,72,64,49,47,64,55,71,64,71,73,78,64,63,65,53,63,69,2006
2007,97,69,70,75,69,58,62,61,64,61,57,49,66,68,81,71,60,61,2007
2008,26,35,74,53,51,47,60,45,64,67,66,55,54,53,37,59,51,66,2008
2009,61,54,53,61,64,67,73,68,70,65,78,65,65,64,57,59,69,71,2009
2010,74,79,93,87,75,65,62,65,62,71,79,49,72,73,72,85,64,71,2010
2011,51,51,64,66,53,58,74,73,57,66,55,53,60,60,50,61,69,60,2011
2012,45,49,57,68,76,62,57,64,74,79,75,52,63,63,49,67,61,76,2012
2013,67,56,64,53,62,65,59,66,77,69,81,67,65,64,58,60,63,76,2013
